,YEAR,MONTH,DAY,NUM_OF_INCIDENTS,CUMULATIVE_SUM,ID
0,2013,1,1,5,5,0
1,2013,1,2,2,7,1
2,2013,1,4,1,8,2
3,2013,1,5,3,11,3
4,2013,1,6,2,13,4
5,2013,1,7,1,14,5
6,2013,1,8,3,17,6
7,2013,1,9,1,18,7
8,2013,1,10,2,20,8
9,2013,1,11,3,23,9
10,2013,1,13,1,24,10
11,2013,1,14,1,25,11
12,2013,1,15,1,26,12
13,2013,1,16,2,28,13
14,2013,1,17,1,29,14
15,2013,1,18,2,31,15
16,2013,1,20,1,32,16
17,2013,1,23,1,33,17
18,2013,1,25,1,34,18
19,2013,1,26,7,41,19
20,2013,1,29,3,44,20
21,2013,2,1,2,46,21
22,2013,2,3,1,47,22
23,2013,2,7,1,48,23
24,2013,2,8,1,49,24
25,2013,2,11,1,50,25
26,2013,2,15,1,51,26
27,2013,2,16,1,52,27
28,2013,2,18,1,53,28
29,2013,2,20,2,55,29
30,2013,2,22,1,56,30
31,2013,2,23,1,57,31
32,2013,2,24,1,58,32
33,2013,3,1,1,59,33
34,2013,3,2,1,60,34
35,2013,3,6,1,61,35
36,2013,3,8,1,62,36
37,2013,3,11,1,63,37
38,2013,3,14,2,65,38
39,2013,3,16,3,68,39
40,2013,3,17,2,70,40
41,2013,3,18,1,71,41
42,2013,3,23,2,73,42
43,2013,3,24,1,74,43
44,2013,3,28,1,75,44
45,2013,3,29,1,76,45
46,2013,3,31,1,77,46
47,2013,4,1,1,78,47
48,2013,4,4,3,81,48
49,2013,4,7,1,82,49
50,2013,4,8,2,84,50
51,2013,4,10,1,85,51
52,2013,4,11,1,86,52
53,2013,4,12,2,88,53
54,2013,4,13,3,91,54
55,2013,4,19,1,92,55
56,2013,4,20,1,93,56
57,2013,4,21,1,94,57
58,2013,4,22,2,96,58
59,2013,4,24,1,97,59
60,2013,4,26,1,98,60
61,2013,4,28,1,99,61
62,2013,4,30,2,101,62
63,2013,5,1,2,103,63
64,2013,5,2,1,104,64
65,2013,5,4,1,105,65
66,2013,5,5,1,106,66
67,2013,5,6,1,107,67
68,2013,5,7,1,108,68
69,2013,5,8,1,109,69
70,2013,5,11,1,110,70
71,2013,5,12,4,114,71
72,2013,5,13,2,116,72
73,2013,5,14,1,117,73
74,2013,5,15,2,119,74
75,2013,5,16,1,120,75
76,2013,5,17,3,123,76
77,2013,5,18,2,125,77
78,2013,5,19,2,127,78
79,2013,5,20,3,130,79
80,2013,5,21,1,131,80
81,2013,5,22,2,133,81
82,2013,5,23,1,134,82
83,2013,5,24,2,136,83
84,2013,5,25,2,138,84
85,2013,5,26,2,140,85
86,2013,5,28,1,141,86
87,2013,5,29,5,146,87
88,2013,5,30,2,148,88
89,2013,5,31,1,149,89
90,2013,6,2,2,151,90
91,2013,6,3,1,152,91
92,2013,6,5,2,154,92
93,2013,6,6,1,155,93
94,2013,6,8,1,156,94
95,2013,6,9,2,158,95
96,2013,6,10,2,160,96
97,2013,6,11,1,161,97
98,2013,6,12,2,163,98
99,2013,6,13,1,164,99
100,2013,6,14,1,165,100
101,2013,6,15,3,168,101
102,2013,6,16,6,174,102
103,2013,6,17,1,175,103
104,2013,6,21,4,179,104
105,2013,6,22,1,180,105
106,2013,6,23,2,182,106
107,2013,6,24,1,183,107
108,2013,6,25,1,184,108
109,2013,6,26,3,187,109
110,2013,6,27,2,189,110
111,2013,6,28,3,192,111
112,2013,6,29,1,193,112
113,2013,6,30,1,194,113
114,2013,7,1,1,195,114
115,2013,7,2,2,197,115
116,2013,7,3,4,201,116
117,2013,7,4,5,206,117
118,2013,7,5,2,208,118
119,2013,7,6,2,210,119
120,2013,7,7,1,211,120
121,2013,7,8,3,214,121
122,2013,7,10,1,215,122
123,2013,7,11,2,217,123
124,2013,7,12,3,220,124
125,2013,7,13,1,221,125
126,2013,7,14,3,224,126
127,2013,7,17,1,225,127
128,2013,7,18,2,227,128
129,2013,7,19,2,229,129
130,2013,7,20,2,231,130
131,2013,7,21,3,234,131
132,2013,7,23,3,237,132
133,2013,7,26,1,238,133
134,2013,7,28,2,240,134
135,2013,7,29,4,244,135
136,2013,8,1,1,245,136
137,2013,8,2,1,246,137
138,2013,8,3,2,248,138
139,2013,8,4,1,249,139
140,2013,8,5,1,250,140
141,2013,8,6,2,252,141
142,2013,8,7,2,254,142
143,2013,8,8,2,256,143
144,2013,8,9,1,257,144
145,2013,8,10,3,260,145
146,2013,8,13,3,263,146
147,2013,8,14,2,265,147
148,2013,8,15,2,267,148
149,2013,8,16,3,270,149
150,2013,8,17,3,273,150
151,2013,8,18,3,276,151
152,2013,8,19,2,278,152
153,2013,8,21,1,279,153
154,2013,8,23,1,280,154
155,2013,8,25,3,283,155
156,2013,8,26,2,285,156
157,2013,8,27,3,288,157
158,2013,8,28,2,290,158
159,2013,8,29,2,292,159
160,2013,8,30,3,295,160
161,2013,8,31,3,298,161
162,2013,9,1,3,301,162
163,2013,9,2,3,304,163
164,2013,9,4,2,306,164
165,2013,9,6,1,307,165
166,2013,9,7,1,308,166
167,2013,9,8,3,311,167
168,2013,9,9,1,312,168
169,2013,9,10,2,314,169
170,2013,9,11,1,315,170
171,2013,9,12,2,317,171
172,2013,9,14,1,318,172
173,2013,9,15,1,319,173
174,2013,9,17,1,320,174
175,2013,9,19,2,322,175
176,2013,9,20,5,327,176
177,2013,9,21,4,331,177
178,2013,9,22,1,332,178
179,2013,9,23,1,333,179
180,2013,9,24,1,334,180
181,2013,9,26,2,336,181
182,2013,9,27,1,337,182
183,2013,9,28,2,339,183
184,2013,9,30,2,341,184
185,2013,10,2,1,342,185
186,2013,10,4,2,344,186
187,2013,10,5,2,346,187
188,2013,10,6,1,347,188
189,2013,10,7,1,348,189
190,2013,10,8,1,349,190
191,2013,10,9,6,355,191
192,2013,10,10,2,357,192
193,2013,10,13,1,358,193
194,2013,10,14,2,360,194
195,2013,10,16,2,362,195
196,2013,10,17,1,363,196
197,2013,10,18,1,364,197
198,2013,10,21,1,365,198
199,2013,10,22,1,366,199
200,2013,10,24,1,367,200
201,2013,10,26,1,368,201
202,2013,10,27,1,369,202
203,2013,10,28,3,372,203
204,2013,10,29,1,373,204
205,2013,10,31,3,376,205
206,2013,11,1,1,377,206
207,2013,11,2,3,380,207
208,2013,11,3,2,382,208
209,2013,11,4,1,383,209
210,2013,11,6,3,386,210
211,2013,11,11,1,387,211
212,2013,11,12,2,389,212
213,2013,11,13,1,390,213
214,2013,11,14,3,393,214
215,2013,11,17,2,395,215
216,2013,11,18,1,396,216
217,2013,11,21,1,397,217
218,2013,11,23,2,399,218
219,2013,11,25,1,400,219
220,2013,11,27,1,401,220
221,2013,11,28,1,402,221
222,2013,11,30,1,403,222
223,2013,12,1,1,404,223
224,2013,12,2,2,406,224
225,2013,12,3,1,407,225
226,2013,12,7,1,408,226
227,2013,12,8,2,410,227
228,2013,12,10,3,413,228
229,2013,12,11,1,414,229
230,2013,12,12,2,416,230
231,2013,12,14,2,418,231
232,2013,12,15,2,420,232
233,2013,12,16,1,421,233
234,2013,12,17,1,422,234
235,2013,12,19,5,427,235
236,2013,12,20,1,428,236
237,2013,12,21,3,431,237
238,2013,12,22,1,432,238
239,2013,12,23,2,434,239
240,2013,12,25,2,436,240
241,2013,12,26,2,438,241
242,2013,12,27,2,440,242
243,2013,12,28,1,441,243
244,2013,12,30,1,442,244
245,2013,12,31,2,444,245
246,2014,1,1,0,0,246
247,2014,1,3,1,1,247
248,2014,1,5,1,2,248
249,2014,1,6,1,3,249
250,2014,1,8,2,5,250
251,2014,1,11,1,6,251
252,2014,1,15,2,8,252
253,2014,1,16,2,10,253
254,2014,1,17,2,12,254
255,2014,1,19,2,14,255
256,2014,1,20,1,15,256
257,2014,1,22,2,17,257
258,2014,1,25,2,19,258
259,2014,1,26,1,20,259
260,2014,1,28,1,21,260
261,2014,1,29,1,22,261
262,2014,1,31,2,24,262
263,2014,2,1,1,25,263
264,2014,2,3,1,26,264
265,2014,2,4,1,27,265
266,2014,2,5,1,28,266
267,2014,2,6,1,29,267
