DATE,TIME,AGE,SEX,RACE,GEOCODE_OVERRIDE,DISTRICT_NUM,DISTRICT_NAME,NEIGHBORHOOD_NAME,COMMUNITY_NAME,LINK,MURDER,PUB_CAUSE,LAT,LNG,IS_MURDER,IS_FATAL,HOUR,HOUR_HH,MINUTES_MM,ID
2013-01-01,16:56,19,M,B,"(41.787502,-87.698143)",008,Chicago Lawn,Gage Park,Gage Park,"http://www.chicagotribune.com/news/local/breaking/chi-humboldt-park-shooting-leaves-2-hospitalized-20130101,0,6730065.story",Yes,Shot,41.787502,-87.698143,1,1,16:56:00,16,56,0
2013-01-07,13:45,17,M,B,"(41.7579730600119,-87.5627524405718)",004,South Chicago,South Shore,South Shore,"http://www.chicagotribune.com/news/local/breaking/chi-union-man-suspected-of-carjacking-shot-after-pointing-object-at-police-20130107,0,2042927.story",No,Shot,41.7579730600119,-87.5627524405718,0,1,13:45:00,13,45,1
2013-01-08,18:15,31,M,B,"(41.9063320755959,-87.6384826004505)",018,Near North,Old Town,Near North Side,"http://www.chicagotribune.com/news/local/breaking/chi-chicago-shooting-violence-jan-89-2-shot-on-sw-side-20130108,0,3083670.story",Yes,Shot,41.9063320755959,-87.6384826004505,1,1,18:15:00,18,15,2
2013-01-26,17:00,16,M,B,"(41.87453079223633, -87.73259735107422)",11,Harrison,West Garfield Park,West Garfield Park,"http://www.chicagotribune.com/news/local/breaking/chi-boy-16-and-man-32-gunned-down-on-west-side-street-20130126,0,3833533.story",Yes,Shot,41.87453079223633, -87.73259735107422,1,1,17:00:00,17,0,3
2013-03-24,,44,F,,"(41.745479,-87.611984)",006,Gresham,Chatham,Chatham,,Yes,Stabbing,41.745479,-87.611984,1,1,,-1,-1,4
2015-11-26,13:20,23,M,,"(41.99511721730232, -87.68506787717342)",24,Rogers Park,West Rogers Park,West Ridge,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shooting-violence-20151126-story.html,,,41.99511721730232, -87.68506787717342,0,1,13:20:00,13,20,5
2015-11-27,01:20,31,M,,"(41.75300158560276, -87.60407656431198)",6,Gresham,Grand Crossing,Greater Grand Crossing,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shooting-violence-20151126-story.html,,,41.75300158560276, -87.60407656431198,0,1,01:20:00,1,20,6
2016-06-04,,32,M,B,"(41.778312, -87.669929)",7,Englewood,West Englewood,West Englewood,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20160603-story.html,Yes,Shot,41.778312, -87.669929,1,1,,-1,-1,7
2016-06-08,13:40,34,M,B,"(41.89190246164799, -87.71040000021458)",11,Harrison,East Garfield Park,Humboldt Park,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20160608-story.html,Yes,Shot,41.89190246164799, -87.71040000021458,1,1,13:40:00,13,40,8
2016-06-10,20:45,26,M,B,"(41.794610023498535, -87.63023413717747)",2,Wentworth,The Robert Taylor Homes,Fuller Park,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20160610-story.html,Yes,Shot,41.794610023498535, -87.63023413717747,1,1,20:45:00,20,45,9
2016-08-26,18:12,35,M,B,"(41.91014099121094, -87.77732849121094)",25,Grand Central,Galewood,Austin,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20160826-story.html,Yes,Shot,41.91014099121094, -87.77732849121094,1,1,18:12:00,18,12,10
2016-12-19,19:37,58,M,B,"(41.81571766734123, -87.60185100138187)",2,Wentworth,North Kenwood,Kenwood,http://www.chicagotribune.com/news/local/breaking/ct-20161219-story.html,,,41.81571766734123, -87.60185100138187,0,1,19:37:00,19,37,11
2013-01-05,07:00,25,M,W,"(41.908554,-87.692932)",014,Shakespeare,Humboldt Park,West Town,"http://www.chicagotribune.com/news/local/breaking/chi-chicago-crime-shooting-humboldt-park,0,5987186.story",Yes,Shot,41.908554,-87.692932,1,1,07:00:00,7,0,12
2013-01-15,09:23,51,M,B,"(41.863662,-87.708892)",010,Ogden,Lawndale,North Lawndale,"http://www.chicagotribune.com/news/local/breaking/chi-man-dies-after-drug-deal-goes-bad-20130115,0,7376525.story",Yes,Shot,41.863662,-87.708892,1,1,09:23:00,9,23,13
2013-02-24,07:30,31,M,W,"(41.8790379166603,-87.745281457901)",015,Austin,South Austin,Austin,http://articles.chicagotribune.com/2013-02-24/news/chi-chicago-crime-shooting-murder-austin_1_cicero-man-shot-west-23rd-place-south-austin-neighborhood,Yes,Shot,41.8790379166603,-87.745281457901,1,1,07:30:00,7,30,14
2013-01-16,22:35,35,F,W(H),"(41.969047,-87.738815)",017,Albany Park,North Mayfair,Albany Park,"http://www.chicagotribune.com/news/local/breaking/chi-death-of-woman-in-northwest-side-fire-ruled-a-homicide-20130118,0,619677.story",Yes,Fire,41.969047,-87.738815,1,1,22:35:00,22,35,15
2013-01-18,21:10,21,M,B,"(41.909709,-87.763191)",025,Grand Central,North Austin,Austin,"http://www.chicagotribune.com/news/local/breaking/chi-chicago-violence-shootings-jan-1819-2-fatally-shot-20130118,0,3298679.story",Yes,Shot,41.909709,-87.763191,1,1,21:10:00,21,10,16
2013-01-29,08:00,20,M,,"(41.695892,-87.542907)",004,South Chicago,East Side,East Side,"http://www.chicagotribune.com/news/local/breaking/chi-man-20-shot-in-east-side20130129,0,5899395.story",Yes,Shot,41.695892,-87.542907,1,1,08:00:00,8,0,17
2013-02-01,04:20,32,F,B,"(41.851737,-87.611488)",001,Central,,Near South Side,"http://www.chicagotribune.com/news/local/breaking/chi-woman-shot-on-lake-shore-drive-ramp-20130201,0,1471406.story",Yes,Shot,41.851737,-87.611488,1,1,04:20:00,4,20,18
2013-03-02,03:30,72,M,B,"(41.722236,-87.612007)",006,Burnside,Burnside,Roseland,"http://www.chicagotribune.com/news/local/breaking/chi-homicide-burnside-neighborhood-20130302,0,1431436.story",Yes,Shot,41.722236,-87.612007,1,1,03:30:00,3,30,19
