Date,Location,Link,lat,long
2/11/17,"1900 W 57th St, Chicago, IL 60636",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-girls-shot-in-head-20170212-story.html,40.51457673,-98.68630238
6/19/17,"300 E 136th St, Chicago, IL 60827",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170619-story.html,41.64822,-87.61468
2/17/17,"300 E 134th St, Riverdale, IL 60827",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170217-story.html,41.65185682,-87.61541761
1/25/17,"400 E 133rd St, Riverdale, IL 60827",http://www.chicagotribune.com/news/local/breaking/ct-chicago-violence-shootings-20170125-story.html,41.65260717,-87.61117704
3/23/17,"13300 S Indiana Ave, Riverdale, IL 60827",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170323-story.html,41.65304947,-87.61831665
1/23/17,"800 E 133rd St, Riverdale, IL 60827",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170123-story.html,41.65378265,-87.60004185
1/23/17,"800 E 133rd St, Riverdale, IL 60827",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170123-story.html,41.65378265,-87.60004185
2/22/17,"900 E 133rd St, Chicago, IL 60827",http://www.chicagotribune.com/news/local/breaking/ct-man-61-found-shot-dead-in-garage-in-south-lawndale-20170222-story.html,41.6538249,-87.59843588
5/14/17,"13200 S Corliss Ave, Chicago, IL 60827",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170514-story.html,41.65567108,-87.60238237
2/20/17,"900 E 132nd St, Chicago, IL 60827",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170220-story.html,41.65598609,-87.599492
4/9/17,"13137 S Langley Ave, Chicago, IL 60827",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170409-story.html,41.65680161,-87.60507618
1/27/17,"400 W 129th Pl, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170127-story.html,41.65824383,-87.63300553
1/1/17,"S Evans Ave & E 130th Pl, Chicago, IL 60827",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170101-story.html,41.65870191,-87.60338751
3/24/17,"600 E 130th Pl, Chicago, IL 60827",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170324-story.html,41.65874474,-87.6046861
