YEAR,MONTH,DAY,NUM_OF_INCIDENTS,CUMULATIVE_SUM,ID
2012,1,1,10,10,0
2012,1,2,6,16,1
2012,1,3,4,20,2
2012,1,4,3,23,3
2012,1,5,15,38,4
2012,1,6,6,44,5
2012,1,7,6,50,6
2012,1,8,6,56,7
2012,1,9,9,65,8
2012,1,10,8,73,9
2012,1,11,7,80,10
2012,1,12,3,83,11
2012,1,13,5,88,12
2012,1,14,3,91,13
2012,1,15,2,93,14
2012,1,16,3,96,15
2012,1,17,8,104,16
2012,1,19,2,106,17
2012,1,20,5,111,18
2012,1,21,4,115,19
2012,1,22,8,123,20
2012,1,23,9,132,21
2012,1,24,5,137,22
2012,1,25,2,139,23
2012,1,26,2,141,24
2012,1,27,10,151,25
2012,1,28,9,160,26
2012,1,29,2,162,27
2012,1,30,6,168,28
2012,1,31,7,175,29
2012,2,1,2,177,30
2012,2,2,5,182,31
2012,2,3,1,183,32
2012,2,4,2,185,33
2012,2,5,4,189,34
2012,2,7,3,192,35
2012,2,8,3,195,36
2012,2,9,5,200,37
2012,2,11,2,202,38
2012,2,12,5,207,39
2012,2,16,3,210,40
2012,2,17,1,211,41
2012,2,18,5,216,42
2012,2,19,22,238,43
2012,2,20,4,242,44
2012,2,21,3,245,45
2012,2,23,1,246,46
2012,2,24,7,253,47
2012,2,25,3,256,48
2012,2,26,4,260,49
2012,2,27,7,267,50
2012,2,28,2,269,51
2012,2,29,10,279,52
2012,3,1,6,285,53
2012,3,2,8,293,54
2012,3,3,4,297,55
2012,3,4,10,307,56
2012,3,5,2,309,57
2012,3,6,11,320,58
2012,3,7,9,329,59
2012,3,8,2,331,60
2012,3,9,7,338,61
2012,3,10,10,348,62
2012,3,11,13,361,63
2012,3,12,8,369,64
2012,3,13,10,379,65
2012,3,14,17,396,66
2012,3,15,9,405,67
2012,3,16,7,412,68
2012,3,17,23,435,69
2012,3,18,19,454,70
2012,3,19,10,464,71
2012,3,20,9,473,72
2012,3,21,11,484,73
2012,3,22,4,488,74
2012,3,23,5,493,75
2012,3,24,6,499,76
2012,3,25,10,509,77
2012,3,26,2,511,78
2012,3,27,10,521,79
2012,3,28,1,522,80
2012,3,29,16,538,81
2012,3,30,3,541,82
2012,3,31,5,546,83
2012,4,1,8,554,84
2012,4,2,1,555,85
2012,4,4,1,556,86
2012,4,5,6,562,87
2012,4,6,4,566,88
2012,4,7,17,583,89
2012,4,8,11,594,90
2012,4,9,6,600,91
2012,4,10,2,602,92
2012,4,11,3,605,93
2012,4,12,12,617,94
2012,4,13,6,623,95
2012,4,14,14,637,96
2012,4,15,5,642,97
2012,4,16,3,645,98
2012,4,17,3,648,99
2012,4,18,4,652,100
2012,4,19,4,656,101
2012,4,20,5,661,102
2012,4,21,7,668,103
2012,4,22,4,672,104
2012,4,23,1,673,105
2012,4,24,5,678,106
2012,4,25,3,681,107
2012,4,26,3,684,108
2012,4,27,7,691,109
2012,4,28,9,700,110
2012,4,29,3,703,111
2012,4,30,5,708,112
2012,5,1,1,709,113
2012,5,2,2,711,114
2012,5,3,11,722,115
2012,5,4,6,728,116
2012,5,5,9,737,117
2012,5,6,8,745,118
2012,5,7,3,748,119
2012,5,8,6,754,120
2012,5,9,4,758,121
2012,5,10,5,763,122
2012,5,11,14,777,123
2012,5,12,13,790,124
2012,5,13,1,791,125
2012,5,14,2,793,126
2012,5,15,2,795,127
2012,5,16,1,796,128
2012,5,17,8,804,129
2012,5,18,8,812,130
2012,5,19,9,821,131
2012,5,20,8,829,132
2012,5,21,8,837,133
2012,5,22,3,840,134
2012,5,23,4,844,135
2012,5,24,5,849,136
2012,5,25,9,858,137
2012,5,26,12,870,138
2012,5,27,18,888,139
2012,5,28,17,905,140
2012,5,29,1,906,141
2012,5,31,5,911,142
2012,6,1,6,917,143
2012,6,2,17,934,144
2012,6,3,13,947,145
2012,6,4,6,953,146
2012,6,5,10,963,147
2012,6,6,6,969,148
2012,6,7,6,975,149
2012,6,8,13,988,150
2012,6,9,21,1009,151
2012,6,10,28,1037,152
2012,6,11,9,1046,153
2012,6,12,7,1053,154
2012,6,13,11,1064,155
2012,6,14,8,1072,156
2012,6,15,6,1078,157
2012,6,16,19,1097,158
2012,6,17,19,1116,159
2012,6,18,7,1123,160
2012,6,19,2,1125,161
2012,6,20,5,1130,162
2012,6,21,5,1135,163
2012,6,22,8,1143,164
2012,6,23,17,1160,165
2012,6,24,9,1169,166
2012,6,25,2,1171,167
2012,6,26,2,1173,168
2012,6,27,5,1178,169
2012,6,28,7,1185,170
2012,6,29,4,1189,171
2012,6,30,6,1195,172
2012,7,1,17,1212,173
2012,7,2,17,1229,174
2012,7,3,18,1247,175
2012,7,4,13,1260,176
2012,7,5,28,1288,177
2012,7,6,11,1299,178
2012,7,7,8,1307,179
2012,7,8,7,1314,180
2012,7,9,9,1323,181
2012,7,10,11,1334,182
2012,7,11,9,1343,183
2012,7,12,1,1344,184
2012,7,13,5,1349,185
2012,7,14,12,1361,186
2012,7,15,5,1366,187
2012,7,16,4,1370,188
2012,7,17,4,1374,189
2012,7,18,6,1380,190
2012,7,19,5,1385,191
2012,7,20,5,1390,192
2012,7,21,23,1413,193
2012,7,22,4,1417,194
2012,7,23,18,1435,195
2012,7,24,3,1438,196
2012,7,25,7,1445,197
2012,7,26,5,1450,198
2012,7,27,1,1451,199
2012,7,28,8,1459,200
2012,7,29,6,1465,201
2012,7,30,5,1470,202
2012,7,31,7,1477,203
2012,8,1,7,1484,204
2012,8,2,18,1502,205
2012,8,3,4,1506,206
2012,8,4,12,1518,207
2012,8,5,12,1530,208
2012,8,6,9,1539,209
2012,8,7,1,1540,210
2012,8,8,8,1548,211
2012,8,9,8,1556,212
2012,8,10,3,1559,213
2012,8,11,11,1570,214
2012,8,12,8,1578,215
2012,8,13,3,1581,216
2012,8,14,3,1584,217
2012,8,15,14,1598,218
2012,8,16,3,1601,219
2012,8,17,9,1610,220
2012,8,18,20,1630,221
2012,8,19,9,1639,222
2012,8,20,7,1646,223
2012,8,21,6,1652,224
2012,8,22,5,1657,225
2012,8,23,21,1678,226
2012,8,24,13,1691,227
2012,8,25,19,1710,228
2012,8,26,15,1725,229
